,C,Jan'24,Feb'24,Mar'24,Apr'24,C,45292,45323,45352,45383
157,Online Sales Calls,122.65345411666661,128.1339705130437,122.3407037857139,123.08957746666647,Online Sales Calls,122.65345411666661,128.1339705130437,122.3407037857139,123.08957746666647
159,Pricing and Other Info,60.72820196826261,58.60332925439253,52.56690807329354,50.6815595293039,Pricing and Other Info,60.72820196826261,58.60332925439253,52.56690807329354,50.6815595293039
160,BounceX,28.46306397611867,27.642799128559563,27.00661852501194,24.10281384238153,BounceX,28.46306397611867,27.642799128559563,27.00661852501194,24.10281384238153
161,Chats ,38.38888888888889,39.130434782608695,34.42857142857143,41.61904761904762,Chats ,38.38888888888889,39.130434782608695,34.42857142857143,41.61904761904762
162,Buyflow Starts,63.41984516672989,59.840828138787046,64.56933054455169,41.548959961647924,Buyflow Starts,63.41984516672989,59.840828138787046,64.56933054455169,41.548959961647924
